gene_id	gene_name	gene_type	seqnames	start	end	gene_length	strand	scr_1	scr_2	Elf3kd_1	Elf3kd_2
11413	ENSMUSG00000053483.13	Usp21	protein_coding	chr1	171281945	171287991	6046	-	1115	1467	1243	1260
11414	ENSMUSG00000053510.12	Nrd1	protein_coding	chr4	109000655	109061777	61122	+	6377	7403	5642	5758
11415	ENSMUSG00000053536.7	Cstf2t	protein_coding	chr19	31082837	31087069	4232	+	4715	4249	3889	3899
11416	ENSMUSG00000053552.14	Ebf4	protein_coding	chr2	130295169	130370481	75312	+	1	1	4	5
11417	ENSMUSG00000053553.11	3110082I17Rik	protein_coding	chr5	139359739	139460527	100788	-	681	1357	513	567
11418	ENSMUSG00000053559.13	Smagp	protein_coding	chr15	100621339	100636940	15601	-	124	75	232	287
11419	ENSMUSG00000053560.5	Ier2	protein_coding	chr8	84661331	84662854	1523	-	3333	2266	2127	2198
11420	ENSMUSG00000053565.10	Eif3k	protein_coding	chr7	28971372	28981864	10492	-	5394	6215	5238	5360
11421	ENSMUSG00000053574.5	4930563E22Rik	protein_coding	chr11	72215138	72218444	3306	+	44	29	56	49
11422	ENSMUSG00000053580.16	Tanc2	protein_coding	chr11	105589986	105929304	339318	+	247	284	386	349
11423	ENSMUSG00000053581.13	Zfand2a	protein_coding	chr5	139471211	139484549	13338	-	3723	3336	4391	4234
11424	ENSMUSG00000053600.8	Zfp472	protein_coding	chr17	32965814	32979233	13419	+	543	518	305	304
11425	ENSMUSG00000053603.4	4930442H23Rik	TEC	chr10	81182605	81183849	1244	-	2	7	2	8
11426	ENSMUSG00000053604.5	Rpia	protein_coding	chr6	70765720	70792232	26512	-	482	478	490	461
11427	ENSMUSG00000053617.12	Sh3pxd2a	protein_coding	chr19	47260174	47464401	204227	-	21178	12862	23756	22822
11428	ENSMUSG00000053626.5	Tll1	protein_coding	chr8	64014931	64206271	191340	-	2	4	1	6
11429	ENSMUSG00000053641.9	Dennd4a	protein_coding	chr9	64811340	64919667	108327	+	786	1011	1043	1027
11430	ENSMUSG00000053644.13	Aldh7a1	protein_coding	chr18	56509687	56572951	63264	-	1010	1114	1201	1160
11431	ENSMUSG00000053646.13	Plxnb1	protein_coding	chr9	109095389	109119917	24528	+	5626	3398	3518	3648
11432	ENSMUSG00000053647.4	Gper1	protein_coding	chr5	139423151	139427800	4649	+	1	4	4	5
11433	ENSMUSG00000053684.8	BC048403	protein_coding	chr10	121739937	121752878	12941	+	734	708	616	633
11434	ENSMUSG00000053693.16	Mast1	protein_coding	chr8	84911903	84937359	25456	-	202	137	194	176
11435	ENSMUSG00000053714.8	4732471J01Rik	lncRNA	chr7	25376819	25566417	189598	+	24	42	17	31
11436	ENSMUSG00000053716.9	Dusp7	protein_coding	chr9	106368632	106375724	7092	+	1269	1282	961	926
11437	ENSMUSG00000053730.15	Tmem39b	protein_coding	chr4	129676355	129696838	20483	-	206	204	154	144
11438	ENSMUSG00000053740.8	Gm6457	processed_pseudogene	chr18	14570147	14570638	491	+	161	214	171	162
11439	ENSMUSG00000053746.8	Ptrh1	protein_coding	chr2	32775786	32777597	1811	+	1408	1556	1381	1366
11440	ENSMUSG00000053754.14	Chd8	protein_coding	chr14	52198151	52257780	59629	-	5154	5480	3721	3730
11441	ENSMUSG00000053768.13	Chchd3	protein_coding	chr6	32790976	33060260	269284	-	4289	5033	3482	3777
11442	ENSMUSG00000053769.5	Lysmd1	protein_coding	chr3	95134088	95139518	5430	+	73	34	40	46
11443	ENSMUSG00000053774.9	Ubxn7	protein_coding	chr16	32332257	32393747	61490	+	4681	3461	3277	3527
11444	ENSMUSG00000053797.10	Krt16	protein_coding	chr11	100246091	100248902	2811	-	9	4	38	32
11445	ENSMUSG00000053799.8	Exoc6	protein_coding	chr19	37520879	37684059	163180	+	3989	4620	3397	3248
11446	ENSMUSG00000053801.18	Grwd1	protein_coding	chr7	45825223	45830944	5721	-	3618	4998	2344	2260
11447	ENSMUSG00000053819.16	Camk2d	protein_coding	chr3	126596302	126846326	250024	+	6305	6876	8710	8914
11448	ENSMUSG00000053830.4	Gm9923	processed_pseudogene	chr10	72309321	72311156	1835	+	45	61	25	41
11449	ENSMUSG00000053835.17	H2-T24	protein_coding	chr17	36005695	36020560	14865	-	15	21	13	8
11450	ENSMUSG00000053838.14	Nudcd3	protein_coding	chr11	6105691	6200415	94724	-	8277	9511	4853	4871
11451	ENSMUSG00000053841.15	Txlna	protein_coding	chr4	129626078	129641065	14987	-	3343	4534	3383	3359
11452	ENSMUSG00000053846.5	Lipg	protein_coding	chr18	74939322	74961263	21941	-	1	2	18	20
11453	ENSMUSG00000053870.7	Fpgt	protein_coding	chr3	155084918	155093403	8485	-	1106	870	542	527
11454	ENSMUSG00000053877.12	Srcap	protein_coding	chr7	127511983	127561219	49236	+	303	360	269	258
11455	ENSMUSG00000053886.4	Sh2d4a	protein_coding	chr8	68276567	68347699	71132	+	1325	1311	929	952
11456	ENSMUSG00000053898.12	Ech1	protein_coding	chr7	28825217	28832247	7030	+	2566	2608	2689	2784
11457	ENSMUSG00000053907.10	Mat2a	protein_coding	chr6	72432799	72439558	6759	-	10797	12114	11865	12142
11458	ENSMUSG00000053914.9	Kdm4d	protein_coding	chr9	14462548	14500482	37934	-	9	8	7	10
11459	ENSMUSG00000053916.4	Nanp	protein_coding	chr2	151029685	151039398	9713	-	145	142	89	72
11460	ENSMUSG00000053925.4	Gm9929	lncRNA	chr1	170868645	170881721	13076	+	21	13	19	16
11461	ENSMUSG00000053929.17	Cyhr1	protein_coding	chr15	76643395	76660117	16722	-	5878	5626	5214	5212
11462	ENSMUSG00000053931.11	Cnn3	protein_coding	chr3	121426497	121458207	31710	+	13672	11925	20741	20041
11463	ENSMUSG00000053950.10	Adnp2	protein_coding	chr18	80126311	80151482	25171	-	3555	2575	2972	2957
11464	ENSMUSG00000053964.17	Lgals4	protein_coding	chr7	28833854	28841708	7854	+	99	521	66	76
11465	ENSMUSG00000053965.10	Pde5a	protein_coding	chr3	122728947	122859374	130427	+	2	13	53	48
11466	ENSMUSG00000053985.10	Zfp14	protein_coding	chr7	30036359	30051380	15021	-	32	16	37	58
11467	ENSMUSG00000054000.5	Tusc1	protein_coding	chr4	93334138	93335511	1373	-	239	410	362	356
11468	ENSMUSG00000054003.13	Tdrd9	protein_coding	chr12	111971559	112068854	97295	+	8	7	9	10
11469	ENSMUSG00000054008.9	Ndst1	protein_coding	chr18	60684494	60748650	64156	-	18086	15430	20865	20714
11470	ENSMUSG00000054013.6	Tmem179	protein_coding	chr12	112500189	112516747	16558	-	44	45	127	99
11471	ENSMUSG00000054021.6	Sirt5	protein_coding	chr13	43365496	43395203	29707	+	532	606	418	368
11472	ENSMUSG00000054027.8	Nt5dc3	protein_coding	chr10	86779005	86838389	59384	+	1506	1963	2091	1969
11473	ENSMUSG00000054051.7	Ercc6	protein_coding	chr14	32513521	32580990	67469	+	1172	906	826	856
11474	ENSMUSG00000054057.2	A930004D18Rik	protein_coding	chr2	18025193	18037737	12544	-	1066	608	581	555
11475	ENSMUSG00000054065.12	Pkp3	protein_coding	chr7	141078218	141090510	12292	+	75	129	17	13
11476	ENSMUSG00000054072.12	Iigp1	protein_coding	chr18	60376027	60392634	16607	+	27	14	24	26
11477	ENSMUSG00000054074.9	Skida1	protein_coding	chr2	18040676	18049051	8375	-	107	183	77	87
11478	ENSMUSG00000054079.12	Utp18	protein_coding	chr11	93859243	93885766	26523	-	3621	5042	2692	2640
11479	ENSMUSG00000054083.8	Capn12	protein_coding	chr7	28881422	28893563	12141	+	26	9	6	6
11480	ENSMUSG00000054091.9	1810037I17Rik	protein_coding	chr3	122924203	122926184	1981	+	2946	2283	2017	1937
11481	ENSMUSG00000054099.11	Slc25a40	protein_coding	chr5	8422850	8454797	31947	+	396	876	517	470
11482	ENSMUSG00000054115.11	Skp2	protein_coding	chr15	9111985	9155425	43440	-	1927	2168	1163	1106
11483	ENSMUSG00000054128.16	H2-T3	protein_coding	chr17	36185572	36190287	4715	-	17	3	28	7
11484	ENSMUSG00000054135.2	A430110L20Rik	lncRNA	chr1	181225986	181228498	2512	+	3	4	5	3
11485	ENSMUSG00000054146.8	Krt15	protein_coding	chr11	100131758	100135928	4170	-	19	10	9	7
11486	ENSMUSG00000054150.12	Syne3	protein_coding	chr12	104929933	105009809	79876	-	241	563	149	153
11487	ENSMUSG00000054161.12	Fam83e	protein_coding	chr7	45721212	45729492	8280	+	53	32	12	8
11488	ENSMUSG00000054181.11	A930012O16Rik	lncRNA	chr2	57236227	57238508	2281	-	19	27	4	20
11489	ENSMUSG00000054191.8	Klf1	protein_coding	chr8	84901928	84905291	3363	+	2	5	3	4
11490	ENSMUSG00000054199.17	Gon4l	protein_coding	chr3	88835231	88910103	74872	+	2716	2319	1855	1824
11491	ENSMUSG00000054200.7	Ffar4	protein_coding	chr19	38097071	38114263	17192	+	22	47	27	39
11492	ENSMUSG00000054203.7	Ifi205	protein_coding	chr1	174011998	174031810	19812	-	14	25	22	16
11493	ENSMUSG00000054206.2	Gzmm	protein_coding	chr10	79689020	79695261	6241	+	23	30	18	18
11494	ENSMUSG00000054215.2	Sprr2k	protein_coding	chr3	92432582	92433925	1343	+	38	137	174	148
11495	ENSMUSG00000054226.13	Tprkb	protein_coding	chr6	85911865	85930284	18419	+	1743	2344	1203	1305
11496	ENSMUSG00000054237.6	Fra10ac1	protein_coding	chr19	38188481	38224156	35675	-	953	1184	875	835
11497	ENSMUSG00000054252.18	Fgfr3	protein_coding	chr5	33721674	33737068	15394	+	387	477	945	1049
11498	ENSMUSG00000054258.9	Gm5082	lncRNA	chr13	41649443	41656777	7334	+	3	2	11	7
11499	ENSMUSG00000054263.12	Lifr	protein_coding	chr15	7090614	7197489	106875	+	86	11	102	103
11500	ENSMUSG00000054266.2	Serpinb9d	protein_coding	chr13	33192959	33203129	10170	+	32	21	89	104
11501	ENSMUSG00000054277.8	Arfgap3	protein_coding	chr15	83299739	83350247	50508	-	1699	1442	2098	2159
11502	ENSMUSG00000054280.14	Prr14l	protein_coding	chr5	32789820	32854256	64436	-	3886	2802	2435	2501
11503	ENSMUSG00000054293.10	P2ry10b	protein_coding	chrX	107148927	107173661	24734	+	4	18	6	5
11504	ENSMUSG00000054302.15	Eapp	protein_coding	chr12	54670340	54695897	25557	-	1979	1893	1797	1834
11505	ENSMUSG00000054304.3	D130007C19Rik	pseudogene	chr4	123902129	123903634	1505	-	12	12	13	17
11506	ENSMUSG00000054309.9	Cpsf3	protein_coding	chr12	21285391	21315056	29665	+	2573	3638	2110	2195
11507	ENSMUSG00000054312.6	Mrps21	protein_coding	chr3	95862634	95871519	8885	-	528	830	533	630
11508	ENSMUSG00000054321.7	Taf4b	protein_coding	chr18	14783245	14900359	117114	+	1194	1686	788	803
11509	ENSMUSG00000054342.8	Kcnn4	protein_coding	chr7	24370263	24386690	16427	+	1943	3435	978	895
11510	ENSMUSG00000054364.5	Rhob	protein_coding	chr12	8497661	8500009	2348	-	16699	10823	18570	18216
11511	ENSMUSG00000054381.5	Zfp747	protein_coding	chr7	127372537	127376050	3513	-	348	271	437	441
11512	ENSMUSG00000054383.2	Pnma1	protein_coding	chr12	84146131	84148489	2358	-	48	33	47	52
11513	ENSMUSG00000054385.14	Ceacam2	protein_coding	chr7	25516042	25539857	23815	-	1	2	3	1
11514	ENSMUSG00000054387.13	Mdm4	protein_coding	chr1	132959484	133030561	71077	-	7272	6902	3751	3855
11515	ENSMUSG00000054400.16	Cklf	protein_coding	chr8	104250861	104264938	14077	+	183	195	165	192
11516	ENSMUSG00000054405.14	Dnajc8	protein_coding	chr4	132535550	132553742	18192	+	3728	4520	3422	3547
11517	ENSMUSG00000054408.9	Spcs3	protein_coding	chr8	54520433	54529998	9565	-	8359	7834	7392	7667
11518	ENSMUSG00000054414.4	Slc30a7	protein_coding	chr3	115938973	116007406	68433	-	3119	3427	3261	3249
11519	ENSMUSG00000054426.11	A930005H10Rik	lncRNA	chr3	115881581	115888130	6549	-	65	80	68	61
11520	ENSMUSG00000054428.12	Atpif1	protein_coding	chr4	132530555	132533659	3104	-	2250	2153	1172	1365
11521	ENSMUSG00000054434.14	Tmem120b	protein_coding	chr5	123068415	123117749	49334	+	149	203	155	170
11522	ENSMUSG00000054435.16	Gimap4	protein_coding	chr6	48684549	48692060	7511	+	17	40	7	9
11523	ENSMUSG00000054452.10	Tle5	protein_coding	chr10	81559488	81566362	6874	+	17017	20740	18246	18260
11524	ENSMUSG00000054453.11	Sytl5	protein_coding	chrX	9885622	9994543	108921	+	232	204	190	189
11525	ENSMUSG00000054455.5	Vapb	protein_coding	chr2	173737511	173784339	46828	+	10681	12164	11987	11866
11526	ENSMUSG00000054469.14	Lclat1	protein_coding	chr17	73107985	73243368	135383	+	540	1092	855	844
11527	ENSMUSG00000054474.15	Thnsl2	protein_coding	chr6	71128166	71144439	16273	-	22	30	36	25
11528	ENSMUSG00000054484.14	Tmem62	protein_coding	chr2	120977017	121007852	30835	+	1068	1454	787	822
11529	ENSMUSG00000054499.9	Dedd2	protein_coding	chr7	25199915	25220615	20700	-	838	641	712	646
11530	ENSMUSG00000054509.7	Parp4	protein_coding	chr14	56575619	56659794	84175	+	2248	1464	1598	1483
11531	ENSMUSG00000054514.3	Atad3aos	lncRNA	chr4	155761178	155769264	8086	+	9	5	9	2
11532	ENSMUSG00000054517.9	Trim65	protein_coding	chr11	116121846	116131128	9282	-	1283	1229	876	981
11533	ENSMUSG00000054519.8	Zfp867	protein_coding	chr11	59461197	59472474	11277	-	717	705	1001	1012
11534	ENSMUSG00000054520.15	Sh3bp2	protein_coding	chr5	34525838	34563641	37803	+	897	822	1023	1094
11535	ENSMUSG00000054545.17	Ugt1a6a	protein_coding	chr1	88134809	88218997	84188	+	22	28	41	61
11536	ENSMUSG00000054555.11	Adam12	protein_coding	chr7	133883199	134232146	348947	-	304	469	358	348
11537	ENSMUSG00000054556.6	Gm4876	lncRNA	chr6	17065010	17171833	106823	-	7	19	17	8
11538	ENSMUSG00000054568.7	Usp17la	protein_coding	chr7	104857009	104862667	5658	+	155	100	265	263
11539	ENSMUSG00000054580.14	Pla2r1	protein_coding	chr2	60417543	60553308	135765	-	14	18	5	19
11540	ENSMUSG00000054582.4	Pabpc1l	protein_coding	chr2	164025450	164050538	25088	+	31	65	33	25
11541	ENSMUSG00000054589.1	Gm9949	lncRNA	chr18	62180126	62184405	4279	+	46	54	86	65
11542	ENSMUSG00000054594.13	Oscar	protein_coding	chr7	3609813	3616157	6344	-	1	3	5	1
11543	ENSMUSG00000054598.13	9130230L23Rik	protein_coding	chr5	65979358	66004285	24927	-	1	7	6	3
11544	ENSMUSG00000054604.7	Cggbp1	protein_coding	chr16	64851996	64859507	7511	+	7117	7356	7348	7366
11545	ENSMUSG00000054611.17	Kdm2a	protein_coding	chr19	4314419	4398285	83866	-	18126	12267	14052	14225
11546	ENSMUSG00000054619.7	Mettl7a1	protein_coding	chr15	100304140	100328662	24522	+	799	1379	1119	1202
11547	ENSMUSG00000054626.11	Xlr	protein_coding	chrX	53777118	53797706	20588	-	10	5	7	15
11548	ENSMUSG00000054630.7	Ugt2b5	protein_coding	chr5	87124960	87140318	15358	-	37	40	31	17
11549	ENSMUSG00000054640.15	Slc8a1	protein_coding	chr17	81373105	81738377	365272	-	35	17	30	17
11550	ENSMUSG00000054648.8	Zfp869	protein_coding	chr8	69702656	69716983	14327	-	1611	1435	1280	1260
11551	ENSMUSG00000054675.5	Tmem119	protein_coding	chr5	113793729	113800516	6787	-	5	13	4	5
11552	ENSMUSG00000054676.15	1600014C10Rik	protein_coding	chr7	38183217	38197568	14351	+	1159	831	1021	1175
11553	ENSMUSG00000054693.14	Adam10	protein_coding	chr9	70678997	70780229	101232	+	16458	14497	11601	12188
11554	ENSMUSG00000054702.14	Ap1s3	protein_coding	chr1	79606876	79671972	65096	-	398	455	71	75
11555	ENSMUSG00000054708.17	Ankrd24	protein_coding	chr10	81628540	81647610	19070	+	121	176	132	126
11556	ENSMUSG00000054715.11	Zscan22	protein_coding	chr7	12897815	12909083	11268	+	470	490	422	385
11557	ENSMUSG00000054716.4	Zfp771	protein_coding	chr7	127244274	127254803	10529	+	550	951	437	393
11558	ENSMUSG00000054717.7	Hmgb2	protein_coding	chr8	57511907	57515999	4092	+	1607	1840	380	414
11559	ENSMUSG00000054720.12	Lrrc8c	protein_coding	chr5	105519388	105613018	93630	+	2652	2922	4031	3798
11560	ENSMUSG00000054723.6	Vmac	protein_coding	chr17	56713936	56718022	4086	-	593	829	693	782
11561	ENSMUSG00000054728.16	Phactr1	protein_coding	chr13	42680623	43138526	457903	+	1	2	5	2
11562	ENSMUSG00000054733.9	Msra	protein_coding	chr14	64122625	64455903	333278	-	149	115	180	198
11563	ENSMUSG00000054752.16	Fsd1l	protein_coding	chr4	53631471	53707009	75538	+	295	214	134	134
11564	ENSMUSG00000054753.9	AU018091	protein_coding	chr7	3154658	3169203	14545	-	20	19	294	256
11565	ENSMUSG00000054766.13	Set	protein_coding	chr2	30057378	30072577	15199	+	7724	12461	5812	6252
11566	ENSMUSG00000054770.16	Kctd18	protein_coding	chr1	57955101	58018956	63855	-	850	835	636	559
11567	ENSMUSG00000054792.15	Klhl18	protein_coding	chr9	110425926	110476694	50768	-	1242	1031	1457	1334
11568	ENSMUSG00000054793.8	Cadm4	protein_coding	chr7	24482023	24504539	22516	+	818	644	743	741
11569	ENSMUSG00000054808.15	Actn4	protein_coding	chr7	28893248	28962340	69092	-	34143	39535	49911	47801
11570	ENSMUSG00000054814.14	Usp46	protein_coding	chr5	73998453	74068431	69978	-	3583	5405	3981	3867
11571	ENSMUSG00000054823.16	Nsd3	protein_coding	chr8	25601601	25719667	118066	+	4558	4202	2525	2423
11572	ENSMUSG00000054836.12	Elp6	protein_coding	chr9	110305173	110322102	16929	+	559	738	381	355
11573	ENSMUSG00000054843.9	Atrnl1	protein_coding	chr19	57611034	58133343	522309	+	3971	3656	1875	1958
11574	ENSMUSG00000054855.13	Rnd1	protein_coding	chr15	98663421	98677461	14040	-	5621	2629	5044	4914
11575	ENSMUSG00000054863.9	Tafa5	protein_coding	chr15	87544299	87759364	215065	+	334	683	508	593
11576	ENSMUSG00000054871.5	Tmem158	protein_coding	chr9	123259053	123260764	1711	-	420	894	459	493
11577	ENSMUSG00000054874.12	Pcnx3	protein_coding	chr19	5664635	5688908	24273	-	9402	10267	8895	8816
11578	ENSMUSG00000054889.10	Dsp	protein_coding	chr13	38151294	38198577	47283	+	16903	13858	25238	23925
11579	ENSMUSG00000054892.14	Txk	protein_coding	chr5	72695978	72752777	56799	-	5	10	10	9
11580	ENSMUSG00000054893.15	Zfp667	protein_coding	chr7	6286579	6307883	21304	+	35	73	82	46
11581	ENSMUSG00000054894.6	Dmac2l	protein_coding	chr12	69724950	69744660	19710	+	207	244	375	354
11582	ENSMUSG00000054910.5	4931415C17Rik	lncRNA	chr8	12672186	12679229	7043	+	3	1	4	4
11583	ENSMUSG00000054920.12	Klhl5	protein_coding	chr5	65107539	65168188	60649	+	693	1311	1311	1319
11584	ENSMUSG00000054932.6	Afp	protein_coding	chr5	90490737	90508907	18170	+	2819	2183	2832	2945
11585	ENSMUSG00000054934.10	Kcnmb4	protein_coding	chr10	116417861	116473878	56017	-	28	56	20	19
11586	ENSMUSG00000054939.6	Zfp174	protein_coding	chr16	3847268	3858880	11612	+	190	121	211	197
11587	ENSMUSG00000054942.13	Miga1	protein_coding	chr3	152273849	152340407	66558	-	41	42	44	49
11588	ENSMUSG00000054945.4	Gm9958	lncRNA	chr5	90366620	90368488	1868	+	70	38	68	84
11589	ENSMUSG00000054951.3	9130008F23Rik	protein_coding	chr17	40875482	40880559	5077	-	371	455	557	492
11590	ENSMUSG00000054957.5	Gm9959	pseudogene	chr17	80728131	80728522	391	+	3	1	4	6
11591	ENSMUSG00000054967.7	Zfp647	protein_coding	chr15	76910371	76925448	15077	-	185	130	118	151
11592	ENSMUSG00000054999.2	Naaladl1	protein_coding	chr19	6105782	6115792	10010	+	95	210	37	41
11593	ENSMUSG00000055003.14	Lrtm2	protein_coding	chr6	119315133	119330766	15633	-	328	141	156	145
11594	ENSMUSG00000055013.16	Agap1	protein_coding	chr1	89454806	89897617	442811	+	8729	7956	8474	8639
11595	ENSMUSG00000055022.14	Cntn1	protein_coding	chr15	92051165	92341967	290802	+	10	1	3	7
11596	ENSMUSG00000055024.12	Ep300	protein_coding	chr15	81585351	81652077	66726	+	9515	9059	7628	7559
11597	ENSMUSG00000055026.13	Gabrg3	protein_coding	chr7	56716465	57387188	670723	-	10	22	7	10
11598	ENSMUSG00000055027.17	Smyd1	protein_coding	chr6	71213940	71322233	108293	-	130	32	50	59
11599	ENSMUSG00000055030.1	Sprr2e	protein_coding	chr3	92352143	92353449	1306	+	9	8	30	27
11600	ENSMUSG00000055041.8	Commd5	protein_coding	chr15	76899910	76901305	1395	+	5	11	11	12
11601	ENSMUSG00000055044.12	Pdlim1	protein_coding	chr19	40221173	40271842	50669	-	269	276	291	248
11602	ENSMUSG00000055053.18	Nfic	protein_coding	chr10	81396186	81455635	59449	-	3513	4484	2281	2229
11603	ENSMUSG00000055061.5	4931431C16Rik	lncRNA	chr5	35581227	35588763	7536	-	2	5	1	3
11604	ENSMUSG00000055065.7	Ddx17	protein_coding	chr15	79527736	79546741	19005	-	22034	23804	22364	22954
11605	ENSMUSG00000055067.15	Smyd3	protein_coding	chr1	178951960	179518041	566081	-	301	461	359	284
11606	ENSMUSG00000055093.10	Gm8430	processed_pseudogene	chr6	122456904	122457374	470	+	7	8	7	5
11607	ENSMUSG00000055102.15	Zfp819	protein_coding	chr7	43607169	43618285	11116	+	6	10	2	4
11608	ENSMUSG00000055114.9	Anxa13	lncRNA	chr15	58341363	58389383	48020	-	3293	6152	3372	3554
11609	ENSMUSG00000055116.8	Arntl	protein_coding	chr7	113207465	113314126	106661	+	488	584	707	648
11610	ENSMUSG00000055128.15	Cgrrf1	protein_coding	chr14	46832125	46854193	22068	+	764	903	439	483
11611	ENSMUSG00000055134.5	9130017K11Rik	lncRNA	chr11	67921504	67947659	26155	+	30	63	72	73
11612	ENSMUSG00000055137.7	Sugct	protein_coding	chr13	16857472	17695553	838081	-	80	77	172	153
11613	ENSMUSG00000055148.7	Klf2	protein_coding	chr8	72319033	72321656	2623	+	16	57	71	61
11614	ENSMUSG00000055150.15	Zfp78	protein_coding	chr7	6363280	6382605	19325	+	66	41	58	47
11615	ENSMUSG00000055172.10	C1ra	protein_coding	chr6	124512405	124523443	11038	+	178	82	326	329
11616	ENSMUSG00000055184.4	Fam72a	protein_coding	chr1	131527903	131539872	11969	+	363	524	238	219
11617	ENSMUSG00000055188.12	Rbm3os	lncRNA	chrX	8145429	8147964	2535	+	12	27	7	21
11618	ENSMUSG00000055194.3	Actbl2	protein_coding	chr13	111255013	111257749	2736	+	3	1	2	1
11619	ENSMUSG00000055200.7	Sertad3	protein_coding	chr7	27473768	27477364	3596	+	261	170	190	197
11620	ENSMUSG00000055202.11	Zfp811	protein_coding	chr17	32795676	32809931	14255	-	9	4	2	1
11621	ENSMUSG00000055204.15	Ankrd17	protein_coding	chr5	90227166	90366577	139411	-	15133	14162	14547	14447
11622	ENSMUSG00000055210.4	Foxd2	protein_coding	chr4	114906282	114908873	2591	-	40	25	29	20
11623	ENSMUSG00000055216.3	9430025C20Rik	pseudogene	chr4	3806635	3808751	2116	-	1	1	1	6
11624	ENSMUSG00000055239.10	Kcmf1	protein_coding	chr6	72841114	72899979	58865	-	5685	6425	5680	5833
11625	ENSMUSG00000055240.17	Zfp101	protein_coding	chr17	33360507	33394641	34134	-	807	955	436	390
11626	ENSMUSG00000055271.5	9330161L09Rik	TEC	chr12	103406822	103407976	1154	-	17	21	8	4
11627	ENSMUSG00000055296.14	Tmem245	protein_coding	chr4	56866923	56947437	80514	-	5467	4548	3187	3319
11628	ENSMUSG00000055301.8	Adh7	protein_coding	chr3	138217760	138233382	15622	+	3696	3834	3980	3970
11629	ENSMUSG00000055302.5	Mrfap1	protein_coding	chr5	36794867	36796772	1905	-	5548	6608	3816	3734
11630	ENSMUSG00000055305.15	Zfp93	protein_coding	chr7	24270420	24277794	7374	+	358	238	334	321
11631	ENSMUSG00000055313.14	Pgbd1	protein_coding	chr13	21421275	21441058	19783	-	68	106	62	55
11632	ENSMUSG00000055319.8	Sec23ip	protein_coding	chr7	128744943	128784836	39893	+	6158	5858	5833	5868
11633	ENSMUSG00000055320.17	Tead1	protein_coding	chr7	112679318	112906807	227489	+	12213	12112	9446	8924
11634	ENSMUSG00000055322.15	Tns1	protein_coding	chr1	73910231	74124449	214218	-	8080	9956	12444	12389
11635	ENSMUSG00000055323.5	Gm9967	lncRNA	chr7	126768082	126776818	8736	-	4	3	3	1
11636	ENSMUSG00000055333.14	Fat2	protein_coding	chr11	55250609	55336564	85955	-	103	304	61	44
11637	ENSMUSG00000055334.4	Snupn	protein_coding	chr9	56950878	56983206	32328	+	523	736	472	425
11638	ENSMUSG00000055341.10	Zfp457	protein_coding	chr13	67288138	67306485	18347	-	22	32	33	35
11639	ENSMUSG00000055360.13	Prl2c5	protein_coding	chr13	13182715	13191923	9208	+	1	7	9	3
11640	ENSMUSG00000055370.3	Gm9968	lncRNA	chr16	43345887	43363666	17779	-	6	1	4	1
11641	ENSMUSG00000055371.17	Stam2	protein_coding	chr2	52691664	52742281	50617	-	7255	5462	6552	6702
11642	ENSMUSG00000055401.14	Fbxo6	protein_coding	chr4	148145716	148152140	6424	-	1288	1312	1073	1107
11643	ENSMUSG00000055403.13	4933427D06Rik	lncRNA	chr6	88950683	89110031	159348	+	2	20	9	9
11644	ENSMUSG00000055407.14	Map6	protein_coding	chr7	99267447	99337137	69690	+	1586	1572	794	735
11645	ENSMUSG00000055416.6	Fam136b-ps	processed_pseudogene	chr15	31276491	31276902	411	+	2	2	2	1
11646	ENSMUSG00000055421.8	Pcdh9	protein_coding	chr14	93013410	93890679	877269	-	1	3	7	6
11647	ENSMUSG00000055424.4	Gm9970	lncRNA	chr5	31240466	31241232	766	-	2	3	1	4
11648	ENSMUSG00000055430.4	Nap1l5	protein_coding	chr6	58905233	58907076	1843	-	9	6	6	2
11649	ENSMUSG00000055435.6	Maf	protein_coding	chr8	115682942	115707794	24852	-	100	318	366	402
11650	ENSMUSG00000055436.18	Srsf11	protein_coding	chr3	158010473	158036639	26166	-	8851	9460	6984	6769
11651	ENSMUSG00000055447.19	Cd47	protein_coding	chr16	49800533	49915010	114477	+	6671	8062	4447	4544
11652	ENSMUSG00000055452.6	Gm7353	processed_pseudogene	chr7	3109020	3111963	2943	-	170	188	133	102
11653	ENSMUSG00000055480.7	Zfp458	protein_coding	chr13	67254918	67278466	23548	-	215	152	170	164
11654	ENSMUSG00000055485.6	Soga1	protein_coding	chr2	157015799	157079254	63455	-	531	333	594	554
11655	ENSMUSG00000055491.14	Pprc1	protein_coding	chr19	46044886	46072915	28029	+	6876	8449	5003	5043
11656	ENSMUSG00000055493.4	Epm2a	protein_coding	chr10	11343404	11459644	116240	+	13	24	27	26
11657	ENSMUSG00000055494.5	Gm14168	lncRNA	chr2	156571792	156577457	5665	+	5	7	5	4
11658	ENSMUSG00000055497.5	Gm9974	processed_pseudogene	chr16	17081999	17082691	692	-	4	3	2	5
11659	ENSMUSG00000055531.12	Cpsf6	protein_coding	chr10	117344673	117380015	35342	-	7228	6900	4796	5117
11660	ENSMUSG00000055538.7	Zcchc24	protein_coding	chr14	25711642	25769039	57397	-	150	148	241	223
11661	ENSMUSG00000055553.16	Kxd1	protein_coding	chr8	70508272	70527956	19684	-	566	855	674	688
11662	ENSMUSG00000055560.8	Zfp459	protein_coding	chr13	67405709	67421418	15709	-	107	82	76	78
